year,county,countyfip,state,realIncWage,gini,pctTechnicalWorker,pctFemaleWorker,unemployementRate,realIncWageRat90_10,realIncWageRat_cg_hs,laborSupply_hl,fmWageRat
1996,Alameda,6001,California,55201,.272,.156,.402,.074,3.964,1.747,1.198,.758
1997,Alameda,6001,California,60863,.334,.076,.361,.075,4.118,1.518,1.48,.6830000000000001
1998,Alameda,6001,California,63255,.3,.063,.409,.074,4,1.439,1.522,.882
1999,Alameda,6001,California,63559,.413,.06,.411,.039,7.5,1.989,1.263,.637
2000,Alameda,6001,California,57381,.357,.068,.435,.037,5,1.84,1.102,.8030000000000001
2001,Alameda,6001,California,65337,.411,.118,.4,.028,5.593,1.635,1.266,.653
2002,Alameda,6001,California,62181,.389,.071,.434,.07,6,1.993,1.042,.834
2003,Alameda,6001,California,71707,.355,.108,.486,.062,4.93,2.346,1.518,.784
2004,Alameda,6001,California,69041,.331,.154,.383,.062,5.2,1.709,1.486,.8120000000000001
2005,Alameda,6001,California,65828,.395,.121,.417,.056,6.75,1.67,1.062,.863
2006,Alameda,6001,California,67075,.435,.103,.404,.066,6.667,2.388,.9370000000000001,.98
2007,Alameda,6001,California,71495,.377,.129,.427,.046,6,2.05,1.246,.901
2008,Alameda,6001,California,75576,.397,.141,.423,.039,5.455,2.394,1.714,.85
2009,Alameda,6001,California,70390,.388,.095,.493,.102,4.347,2.414,1.321,.79
2010,Alameda,6001,California,69818,.344,.183,.418,.108,5.106,2.066,1.477,.872
2011,Alameda,6001,California,71169,.34,.186,.428,.135,6.5,2.025,1.649,.872
2012,Alameda,6001,California,69635,.425,.127,.441,.104,6.4,2.432,1.218,.854
2013,Alameda,6001,California,73425,.409,.14,.447,.097,6.617,2.371,1.462,.8180000000000001
2014,Alameda,6001,California,61887,.359,.132,.436,.091,5.714,1.818,1.369,.923
1996,Butte,6007,California,44836,.348,0,.524,.089,3.267,3.653,.447,.538
1997,Butte,6007,California,41572,.226,0,.375,.273,3.262,1.562,.646,.6920000000000001
1998,Butte,6007,California,52329,.447,0,.452,.04,6.061,3.991,.839,.441
1999,Butte,6007,California,34618,.33,.029,.5710000000000001,.107,4.922,2.003,.455,.978
2000,Butte,6007,California,39930,.366,0,.419,.121,5.03,2.541,.512,.858
2001,Butte,6007,California,36390,.402,.026,.421,.031,10,4.516,.535,.751
2002,Butte,6007,California,42120,.319,0,.526,.075,5,1.767,1.213,.843
2003,Butte,6007,California,43811,.365,.026,.436,.071,5.17,2.525,1.064,.743
2004,Butte,6007,California,34626,.335,.034,.517,.094,7.571,2.395,.656,.645
2005,Butte,6007,California,39951,.429,.029,.618,.039,8.077,4.718,.742,.427
2006,Butte,6007,California,68745,.517,0,.421,.05,7.143,4.086,.67,.636
2007,Butte,6007,California,64778,.5,0,.455,.05,6.577,3.786,.633,.405
2008,Butte,6007,California,44660,.23,.105,.316,.061,2.708,1.242,.735,.971
2009,Butte,6007,California,38522,.326,0,.483,.083,5.109,2.342,.581,1.125
2010,Butte,6007,California,44583,.277,0,.391,.093,4.375,1.323,.658,.878
2011,Butte,6007,California,45869,.298,0,.375,.094,4.158,2.468,.6,1.008
2012,Butte,6007,California,46487,.323,.053,.474,.1,6.457,1.729,.998,.841
2013,Butte,6007,California,43922,.393,0,.5,.188,5.921,.5620000000000001,.507,.535
2014,Butte,6007,California,42424,.317,.087,.522,.122,3.722,1.773,1.1,.8030000000000001
1996,Contra Costa,6013,California,71560,.376,.132,.408,.031,4.401,2.264,1.825,.6810000000000001
1997,Contra Costa,6013,California,70687,.381,.134,.358,.027,6.923,2.381,1.696,.603
1998,Contra Costa,6013,California,71540,.338,.12,.373,.05,5.179,1.98,1.74,.751
1999,Contra Costa,6013,California,70219,.385,.098,.402,.038,5.828,2.319,1.264,.625
2000,Contra Costa,6013,California,71912,.442,.032,.474,.033,7.188,2.882,1.392,.5570000000000001
2001,Contra Costa,6013,California,98282,.419,.136,.415,.024,5.417,2.647,2.204,.491
2002,Contra Costa,6013,California,82571,.434,.104,.418,.055,5.722,2.491,1.702,.528
2003,Contra Costa,6013,California,75235,.294,.143,.429,.072,3.704,2.001,1.51,.613
