"[""  ",State Name,""",""",State,,year,,realIncWage,,gini,,pctTechnicalWorker,,pctFemaleWorker,,unemployementRate,,realIncWageRat90_10,,realIncWageRat_cg_hs,,laborSupply_hl,,fmWageRat,
"[""  ",Alabama,""",""",AL,""" ,  ",1980,",",33793,",",0.324,",",0.033,",",0.36,",",0.069,",",4.717,",",1.656,",",0.313,",",0.608,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1981,",",34164,",",0.308,",",0.032,",",0.379,",",0.081,",",4.283,",",1.428,",",0.337,",",0.598,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1982,",",35379,",",0.32,",",0.04,",",0.372,",",0.118,",",4.505,",",1.44,",",0.277,",",0.571,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1983,",",36599,",",0.326,",",0.032,",",0.385,",",0.131,",",4.432,",",1.549,",",0.358,",",0.563,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1984,",",36943,",",0.329,",",0.017,",",0.377,",",0.104,",",4.701,",",1.533,",",0.364,",",0.617,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1985,",",36784,",",0.327,",",0.04,",",0.396,",",0.093,",",4.719,",",1.498,",",0.354,",",0.61,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1986,",",38629,",",0.327,",",0.042,",",0.392,",",0.104,",",4.5,",",1.862,",",0.471,",",0.553,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1987,",",37048,",",0.355,",",0.04,",",0.408,",",0.083,",",5.386,",",1.846,",",0.382,",",0.57,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1988,",",36684,",",0.328,",",0.035,",",0.398,",",0.068,",",5,",",1.682,",",0.367,",",0.647,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1989,",",34854,",",0.328,",",0.03,",",0.429,",",0.065,",",4.5,",",1.686,",",0.339,",",0.664,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1990,",",34921,",",0.317,",",0.033,",",0.446,",",0.059,",",4.07,",",1.858,",",0.339,",",0.65,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1991,",",34983,",",0.315,",",0.036,",",0.41,",",0.08,",",4.301,",",1.739,",",0.404,",",0.699,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1992,",",35757,",",0.325,",",0.027,",",0.449,",",0.08,",",4.667,",",1.508,",",0.502,",",0.704,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1993,",",36568,",",0.324,",",0.024,",",0.433,",",0.075,",",4.352,",",1.664,",",0.485,",",0.645,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1994,",",36568,",",0.331,",",0.046,",",0.432,",",0.058,",",5.111,",",1.878,",",0.528,",",0.666,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1995,",",40621,",",0.341,",",0.058,",",0.422,",",0.051,",",5,",",1.913,",",0.623,",",0.624,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1996,",",39682,",",0.338,",",0.023,",",0.465,",",0.056,",",4.311,",",1.767,",",0.609,",",0.653,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1997,",",40178,",",0.335,",",0.036,",",0.508,",",0.043,",",4.167,",",1.651,",",0.643,",",0.683,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1998,",",42317,",",0.321,",",0.052,",",0.487,",",0.041,",",4.5,",",1.69,",",0.716,",",0.708,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1999,",",45088,",",0.339,",",0.035,",",0.44,",",0.045,",",4.308,",",1.774,",",0.712,",",0.691,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2000,",",41805,",",0.33,",",0.039,",",0.461,",",0.037,",",4.583,",",1.781,",",0.578,",",0.717,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2001,",",45060,",",0.346,",",0.044,",",0.454,",",0.05,",",4.692,",",1.927,",",0.626,",",0.663,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2002,",",49033,",",0.37,",",0.064,",",0.458,",",0.067,",",4.857,",",1.771,",",0.728,",",0.665,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2003,",",47951,",",0.351,",",0.054,",",0.448,",",0.057,",",5,",",1.757,",",0.751,",",0.642,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2004,",",48586,",",0.372,",",0.058,",",0.451,",",0.056,",",5,",",1.887,",",0.741,",",0.654,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2005,",",47080,",",0.357,",",0.042,",",0.451,",",0.039,",",4.886,",",1.907,",",0.668,",",0.712,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2006,",",47965,",",0.369,",",0.063,",",0.454,",",0.041,",",4.667,",",1.985,",",0.606,",",0.658,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2007,",",45691,",",0.361,",",0.046,",",0.474,",",0.039,",",5.034,",",1.891,",",0.629,",",0.787,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2008,",",49915,",",0.391,",",0.048,",",0.474,",",0.054,",",5.182,",",2.044,",",0.721,",",0.626,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2009,",",48319,",",0.364,",",0.061,",",0.45,",",0.113,",",4.748,",",2.11,",",0.665,",",0.661,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2010,",",47292,",",0.37,",",0.052,",",0.5,",",0.122,",",5,",",1.957,",",0.687,",",0.75,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2011,",",49399,",",0.36,",",0.056,",",0.47,",",0.113,",",4.722,",",1.976,",",0.841,",",0.772,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2012,",",49584,",",0.363,",",0.068,",",0.455,",",0.082,",",5,",",2.019,",",0.877,",",0.688,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2013,",",46740,",",0.355,",",0.067,",",0.446,",",0.083,",",5,",",1.861,",",0.893,",",0.831,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2014,",",45945,",",0.346,",",0.042,",",0.463,",",0.091,",",5.152,",",1.68,",",0.82,",",0.75,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",1980,",",53932,",",0.31,",",0.061,",",0.393,",",0.096,",",5.195,",",1.163,",",0.627,",",0.552,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",1981,",",53804,",",0.315,",",0.053,",",0.39,",",0.116,",",5.436,",",1.358,",",0.674,",",0.595,"],"
