year,state,statefip,stateAbbrev,realIncWage,gini,pctTechnicalWorker,pctFemaleWorker,unemployementRate,realIncWageRat90_10,realIncWageRat_cg_hs,laborSupply_hl,fmWageRat
1980,Alabama,1,AL,33793,.324,.033,.36,.069,4.717000000000001,1.656,.313,.608
1981,Alabama,1,AL,34164,.308,.032,.379,.081,4.283,1.428,.337,.598
1982,Alabama,1,AL,35379,.32,.04,.372,.118,4.505,1.44,.277,.5710000000000001
1983,Alabama,1,AL,36599,.326,.032,.385,.131,4.432,1.549,.358,.5630000000000001
1984,Alabama,1,AL,36943,.329,.017,.377,.104,4.701000000000001,1.533,.364,.617
1985,Alabama,1,AL,36784,.327,.04,.396,.093,4.719,1.498,.354,.61
1986,Alabama,1,AL,38629,.327,.042,.392,.104,4.5,1.862,.471,.5530000000000001
1987,Alabama,1,AL,37048,.355,.04,.408,.083,5.386,1.846,.382,.5700000000000001
1988,Alabama,1,AL,36684,.328,.035,.398,.068,5,1.682,.367,.647
1989,Alabama,1,AL,34854,.328,.03,.429,.065,4.5,1.686,.339,.664
1990,Alabama,1,AL,34921,.317,.033,.446,.059,4.07,1.858,.339,.65
1991,Alabama,1,AL,34983,.315,.036,.41,.08,4.301,1.739,.404,.6990000000000001
1992,Alabama,1,AL,35757,.325,.027,.449,.08,4.667,1.508,.502,.704
1993,Alabama,1,AL,36568,.324,.024,.433,.075,4.352,1.664,.485,.645
1994,Alabama,1,AL,36568,.331,.046,.432,.058,5.111,1.878,.528,.666
1995,Alabama,1,AL,40621,.341,.058,.422,.051,5,1.913,.623,.624
1996,Alabama,1,AL,39682,.338,.023,.465,.056,4.311,1.767,.609,.653
1997,Alabama,1,AL,40178,.335,.036,.508,.043,4.167,1.651,.643,.6830000000000001
1998,Alabama,1,AL,42317,.321,.052,.487,.041,4.5,1.69,.716,.708
1999,Alabama,1,AL,45088,.339,.035,.44,.045,4.308,1.774,.712,.6910000000000001
2000,Alabama,1,AL,41805,.33,.039,.461,.037,4.583,1.781,.578,.717
2001,Alabama,1,AL,45060,.346,.044,.454,.05,4.692,1.927,.626,.663
2002,Alabama,1,AL,49033,.37,.064,.458,.067,4.857,1.771,.728,.665
2003,Alabama,1,AL,47951,.351,.054,.448,.057,5,1.757,.751,.642
2004,Alabama,1,AL,48586,.372,.058,.451,.056,5,1.887,.741,.654
2005,Alabama,1,AL,47080,.357,.042,.451,.039,4.886,1.907,.668,.712
2006,Alabama,1,AL,47965,.369,.063,.454,.041,4.667,1.985,.606,.658
2007,Alabama,1,AL,45691,.361,.046,.474,.039,5.034,1.891,.629,.787
2008,Alabama,1,AL,49915,.391,.048,.474,.054,5.182,2.044,.721,.626
2009,Alabama,1,AL,48319,.364,.061,.45,.113,4.748,2.11,.665,.661
2010,Alabama,1,AL,47292,.37,.052,.5,.122,5,1.957,.6870000000000001,.75
2011,Alabama,1,AL,49399,.36,.056,.47,.113,4.722,1.976,.841,.772
2012,Alabama,1,AL,49584,.363,.068,.455,.082,5,2.019,.877,.6880000000000001
2013,Alabama,1,AL,46740,.355,.067,.446,.083,5,1.861,.893,.8310000000000001
2014,Alabama,1,AL,45945,.346,.042,.463,.091,5.152,1.68,.8200000000000001,.75
1980,Alaska,2,AK,53932,.31,.061,.393,.096,5.195,1.163,.627,.5520000000000001
1981,Alaska,2,AK,53804,.315,.053,.39,.116,5.436,1.358,.674,.595
1982,Alaska,2,AK,54656,.324,.067,.419,.117,5.4,1.201,.667,.592
